journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords
BIOTC '24: Proceedings of the 2024 6th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3688225.3688241,A Blockchain-Based Accident Forensics System for Smart Connected Vehicles,,,,
BIOTC '24: Proceedings of the 2024 6th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3688225.3688228,Enhancing Certificate Revocation List Management in Vehicular Networks with Blockchain and Query Cumulative Filters,,,,
SIGMOD/PODS '24: Companion of the 2024 International Conference on Management of Data,ACM,,https://doi.org/10.1145/3626246.3653390,LETUS: A Log-Structured Efficient Trusted Universal BlockChain Storage,,,,
"ACM Transactions on Storage (TOS), Volume 20, Issue 3",ACM,,https://doi.org/10.1145/3664818,LVMT: An Efficient Authenticated Storage for Blockchain,,,,
BIOTC '24: Proceedings of the 2024 6th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3688225.3688239,"Establishing a Baseline for Evaluating Blockchain-Based Self-Sovereign Identity Systems: A Systematic Approach to Assess Capability, Compatibility and Interoperability",,,,
BIOTC '24: Proceedings of the 2024 6th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3688225.3688234,"Blockchain, IoT, and AI-based framework for traceability in carbon capture utilization storage (CCUS) supply chain",,,,
ICBCT '23: Proceedings of the 2023 5th International Conference on Blockchain Technology,ACM,,https://doi.org/10.1145/3638025.3638030,A Blockchain-Based Conditional Anonymous Authentication Scheme,,,,
"Distributed Ledger Technologies: Research and Practice (DLT), Just Accepted",ACM,,https://doi.org/10.1145/3678187,Cross-Blockchain Communication Using Oracles With an Off-Chain Aggregation Mechanism Based on zk-SNARKs,,,,
ICBCT '23: Proceedings of the 2023 5th International Conference on Blockchain Technology,ACM,,https://doi.org/10.1145/3638025.3638033,Blockchain-based Secure Key Distribution for WSNs in Soil Monitoring,,,,
ICBTA '22: Proceedings of the 2022 5th International Conference on Blockchain Technology and Applications,ACM,,https://doi.org/10.1145/3581971.3581985,A Blockchain-based Framework for News Fine-grained Detection and Management,,,,
ICBCT '23: Proceedings of the 2023 5th International Conference on Blockchain Technology,ACM,,https://doi.org/10.1145/3638025.3638026,Blockchain-based power data assetization business model and Strategic Value,,,,
ICBCT '23: Proceedings of the 2023 5th International Conference on Blockchain Technology,ACM,,https://doi.org/10.1145/3638025.3638034,Intelligent New Energy Vehicle Battery Swap Scheme based on Blockchain Technology,,,,
ICBTA '23: Proceedings of the 2023 6th International Conference on Blockchain Technology and Applications,ACM,,https://doi.org/10.1145/3651655.3651666,AutoChain: An Incentive-Based Blockchain System for Air Quality Monitoring and Emissions Reduction,,,,
ICBCT '23: Proceedings of the 2023 5th International Conference on Blockchain Technology,ACM,,https://doi.org/10.1145/3638025.3638031,STRuB: A Self-Defense Trust Management Model Based on Blockchain for VANETs,,,,
BIOTC '23: Proceedings of the 2023 5th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3625078.3625086,Leveraging AI and Blockchain for Streamlining Healthcare Payments,,,,
BIOTC '22: Proceedings of the 2022 4th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3559795.3559810,A Blockchain Communication Resource Optimization Consensus Method,,,,
BIOTC '23: Proceedings of the 2023 5th Blockchain and Internet of Things Conference,ACM,,https://doi.org/10.1145/3625078.3625081,Privacy Protection Scheme for Epidemiological Investigation Based on Blockchain Technology,,,,
BlockSys '23: Proceedings of the Fifth ACM International Workshop on Blockchain-enabled Networked Sensor Systems,ACM,,https://doi.org/10.1145/3628354.3629528,Blockchain enabled Shared Mobility for Sustainable Transportation,,,,
ICBTA '23: Proceedings of the 2023 6th International Conference on Blockchain Technology and Applications,ACM,,https://doi.org/10.1145/3651655.3651663,ZK-BFT: A Zero-knowledge and Byzantine Fault Tolerant Consensus for Permissioned Blockchain Networks,,,,
WWW '24: Proceedings of the ACM Web Conference 2024,ACM,,https://doi.org/10.1145/3589334.3645431,Blockchain Censorship,,,,
