journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,,AI Security Continuum: Concept and Challenges,Hironori Washizaki; Nobukazu Yoshioka,,"We propose a conceptual framework, named ""AI Security Continuum,"" consisting of dimensions to deal with challenges of the breadth of the AI security risk sustainably and systematically under the emerging context of the computing continuum as well as continuous engineering. The dimensions identified are the continuum in the AI computing environment, the continuum in technical activities for AI, the continuum in layers in the overall architecture, including AI, the level of AI automation, and the level of AI security measures. We also prospect an engineering foundation that can efficiently and effectively raise each dimension.",,,
,IEEE,Publisher: IEEE,,Taxonomy of Generative AI Applications for Risk Assessment,Hiroshi Tanaka; Masaru Ide; Jun Yajima; Sachiko Onodera; Kazuki Munakata; Nobukazu Yoshioka,,"The superior functionality and versatility of generative AI have raised expectations for the improvement of human society and concerns about the ethical and social risks associated with the use of generative AI. Many previous studies have presented risk issues as concerns associated with the use of generative AI, but since most of these concerns are from the user's perspective, they are difficult to lead to specific countermeasures. In this study, the risk issues presented by the previous studies were broken down into more detailed elements, and risk factors and impacts were identified. In this way, we presented information that leads to countermeasure proposals for generative AI risks.CCS CONCEPTS• General and reference→Evaluation; Surveys and overviews, • Human-centered computing→HCI theory, concepts and models; • Social and professional topics→Computing / technology policy.",,,
,IEEE,Publisher: IEEE,,Custom Developer GPT for Ethical AI Solutions,Lauren Olson,,"The main goal of this project is to create a new software artefact: a custom Generative Pre-trained Transformer (GPT) for developers to discuss and solve ethical issues through AI engineering. This conversational agent will provide developers with practical application on (1) how to comply with legal frameworks which regard AI systems (like the EU AI Act [8] and GDPR [11]) and (2) present alternate ethical perspectives to allow developers to understand and incorporate alternate moral positions. In this paper, we provide motivation for the need of such an agent, detail our idea and demonstrate a use case. The use of such a tool can allow practitioners to engineer AI solutions which meet legal requirements and satisfy diverse ethical perspectives.",,,
,IEEE,Publisher: Princeton University Press,,AI Needs You: How We Can Change AI's Future and Save Our Own,Verity Harding,,"A humanist manifesto for the age of AI

Artificial intelligence may be the most transformative technology of our time. As AI’s power grows, so does the need to figure out what—and who—this technology is really for. AI Needs You argues that it is critical for society to take the lead in answering this urgent question and ensuring that AI fulfills its promise.

Verity Harding draws inspiring lessons from the histories of three twentieth-century tech revolutions—the space race, in vitro fertilization, and the internet—to empower each of us to join the conversation about AI and its possible futures. Sharing her perspective as a leading insider in technology and politics, she rejects the dominant narrative, which often likens AI’s advent to that of the atomic bomb. History points the way to an achievable future in which democratically determined values guide AI to be peaceful in its intent; to embrace limitations; to serve purpose, not profit; and to be firmly rooted in societal trust.

AI Needs You gives us hope that we, the people, can imbue AI with a deep intentionality that reflects our best values, ideals, and interests, and that serves the public good. AI will permeate our lives in unforeseeable ways, but it is clear that the shape of AI’s future—and of our own—cannot be left only to those building it. It is up to us to guide this technology away from our worst fears and toward a future that we can trust and believe in.",,,
,IEEE,,,,,,,,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICTC58733.2023.10392465,A Brief Survey of Watermarks in Generative AI,JaeYoung Hwang; SangHoon Oh,,"Generative AI technology is now capable of producing images and text at a level comparable to that of humans, showcasing its remarkable utility. However, this advancement comes with its share of challenges, such as misuse, prompting discussions on effective response strategies. Consequently, recommendations and regulations, including the adoption of watermark technology, are under deliberation on a country-by-country basis. Many companies are also integrating watermark technology into their services as a means of addressing this issue. This paper presents an analysis of the current status of watermark adoption across various countries and companies. Furthermore, it delves into further research topics that should be taken into account when implementing watermark technology. This analysis aims to provide valuable insights to those who are contemplating the implementation of watermarking in their future generative AI services.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICCE59016.2024.10444383,Enhancing the Fairness and Performance of Edge Cameras with Explainable AI,Truong Thanh Hung Nguyen; Vo Thanh Khang Nguyen; Quoc Hung Cao; Van Binh Truong; Quoc Khanh Nguyen; Hung Cao,,"The rising use of Artificial Intelligence (AI) in human detection on Edge camera systems has led to accurate but complex models, challenging to interpret and debug. Our research presents a diagnostic method using XAI for model debugging, with expert-driven problem identification and solution creation. Validated on the Bytetrack model in a real-world office Edge network, we found the training dataset as the main bias source and suggested model augmentation as a solution. Our approach helps identify model biases, essential for achieving fair and trustworthy models.",,,
,IEEE,Publisher: IEEE,,Do Generative AI Tools Ensure Green Code? An Investigative Study,Samarth Sikand; Rohit Mehra; Vibhu Saujanya Sharma; Vikrant Kaulgud; Sanjay Podder; Adam P. Burden,,"Software sustainability is emerging as a primary concern, aiming to optimize resource utilization, minimize environmental impact, and promote a greener, more resilient digital ecosystem. The sustainability or ’greenness’ of software is typically determined by the adoption of sustainable coding practices. With a maturing ecosystem around generative AI, many software developers now rely on these tools to generate code using natural language prompts. Despite their potential advantages, there is a significant lack of studies on the sustainability aspects of AI-generated code. Specifically, how environmentally friendly is the AI-generated code based upon its adoption of sustainable coding practices? In this paper, we present the results of an early investigation into the sustainability aspects of AI-generated code across three popular generative AI tools — ChatGPT, BARD, and Copilot. The results highlight the default non-green behavior of tools for generating code, across multiple rules and scenarios. It underscores the need for further in-depth investigations and effective remediation strategies.CCS CONCEPTS• Social and professional topics → Sustainability; • Computing methodologies → Natural language generation.",,,
,IEEE,,,,,,,,,
,IEEE,Publisher: IEEE,,Towards a Responsible AI Metrics Catalogue: A Collection of Metrics for AI Accountability,Boming Xia; Qinghua Lu; Liming Zhu; Sung Une Lee; Yue Liu; Zhenchang Xing,,"Artificial Intelligence (AI), particularly through the advent of large-scale generative AI (GenAI) models such as Large Language Models (LLMs), has become a transformative element in contemporary technology. While these models have unlocked new possibilities, they simultaneously present significant challenges, such as concerns over data privacy and the propensity to generate misleading or fabricated content. Current frameworks for Responsible AI (RAI) often fall short in providing the granular guidance necessary for tangible application, especially for Accountability—a principle that is pivotal for ensuring transparent and auditable decision-making, bolstering public trust, and meeting increasing regulatory expectations. This study bridges the Accountability gap by introducing our effort towards a comprehensive metrics catalogue, formulated through a systematic multivocal literature review (MLR) that integrates findings from both academic and grey literature. Our catalogue delineates process metrics that underpin procedural integrity, resource metrics that provide necessary tools and frameworks, and product metrics that reflect the outputs of AI systems. This tripartite framework is designed to operationalize Accountability in AI, with a special emphasis on addressing the intricacies of GenAI.CCS CONCEPTS•Software and its engineering;",,,
