journal,indexation,publication,doi,titre,chercheurs,laboratoires,abstract,keywords,pays,quartile
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00068,ArtChain: Blockchain-Enabled Platform for Art Marketplace,Ziyuan Wang; Lin Yang; Qin Wang; Donghai Liu; Zhiyu Xu; Shigang Liu,,"Blockchain is an emerging technology that has the potential to revolutionize the global industry and create a trusted relationship in a multi-party business network. There are a number of practical use cases where blockchain has been applied. One specific area is the Art industry, where it is a natural fit in the way that art forensics and transactions are conducted, tracked and recorded. This motivates us to develop the ArtChain platform to assist the Art Industry. In this paper, we present ArtChain, which is an integrated trading system based on blockchain. It includes the front end, the back end, the services, the smart contract, the chain connection and the deployment scripts from the bottom to the top. To the best of our knowledge, this is the first deployed blockchain-enabled art trading platform in Australia. It provides a transparent yet privacy-preserving, and tamper-proof transaction history for registration, provenance, and traceability of art assets. Our objective analysis and evaluation show that the ArtChain platform is applicable and practical. For the interest of other researchers, our system implementation related resources are open-sourced on Github.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00041,Effective Scheme against 51% Attack on Proof-of-Work Blockchain with History Weighted Information,Xinle Yang; Yang Chen; Xiaohu Chen,,"Proof-of-Work (PoW) is a popular protocol used in Blockchain systems to resolve double-spending problems. However, if an attacker has access to calculation hash power greater than half of the total hash power, this attacker can create a double-spending attack or 51% attack. The cost of creating a 51% attack is surprisingly low if hash power is abundantly available. That posts a great threat to lots of PoW blockchains. We propose a technique to combine history weighted information of miners with the total calculation difficulty to alleviate the 51% attack problem. Analysis indicates that with the new technique, the cost of a traditional attack is increased by two orders of magnitude.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain50366.2020.00032,ETH Relay: A Cost-efficient Relay for Ethereum-based Blockchains,Philipp Frauenthaler; Marten Sigwart; Christof Spanring; Michael Sober; Stefan Schulte,,"Current blockchain relay schemes require the immediate validation of each relayed block header by the destination blockchain. This leads to high operating cost when deploying these relays between Ethereum-based blockchains where validating block headers on-chain is computationally expensive.To overcome these limitations, we introduce a novel relay scheme that employs a validation-on-demand pattern combined with economic incentives to reduce the cost of operating a relay between Ethereum-based blockchains by up to 92%. With this relay scheme, decentralized interoperability between blockchains like Ethereum and Ethereum Classic becomes feasible.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00080,A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge,Alem Fitwi; Yu Chen; Sencun Zhu,,"Witnessing the increasingly pervasive deployment of security video surveillance systems(VSS), more and more individuals have become concerned with the issues of privacy violations. While the majority of the public have a favorable view of surveillance in terms of crime deterrence, individuals do not accept the invasive monitoring of their private life. To date, however, there is not a lightweight and secure privacy-preserving solution for video surveillance systems. The recent success of blockchain (BC) technologies and their applications in the Internet of Things (IoT) shed a light on this challenging issue. In this paper, we propose a Lightweight, Blockchain-based Privacy protection (Lib-Pri) scheme for surveillance cameras at the edge. It enables the VSS to perform surveillance without compromising the privacy of people captured in the videos. The Lib-Pri system transforms the deployed VSS into a system that functions as a federated blockchain network capable of carrying out integrity checking, blurring keys management, feature sharing, and video access sanctioning. The policy-based enforcement of privacy measures is carried out at the edge devices for real-time video analytics without cluttering the network.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00003,"Performance Analysis of a Hyperledger Fabric Blockchain Framework: Throughput, Latency and Scalability",Murat Kuzlu; Manisa Pipattanasomporn; Levent Gurses; Saifur Rahman,,"Focusing on one of the most popular open source blockchain frameworks-Hyperledger Fabric, this paper evaluates the impact of network workload on performance of a blockchain platform. In particular, the performance of the Hyperledger Fabric platform is evaluated in terms of: (a) throughput, i.e., successful transactions per second; (b) latency, i.e., response time per transaction in seconds; and (c) scalability, i.e., number of participants serviceable by the platform. The results indicate that the instance of Hyperledger Fabric platform being implemented can support up to 100,000 participants on the selected AWS EC2 instance. As long as the transaction rate is maintained within 200 transactions per seconds, the network latency is in the order of fraction of a second.",,,
,IEEE,,,,,,,,,
,IEEE,Publisher: IEEE,DOI: 10.1109/Blockchain.2019.00004,Air Gapped Wallet Schemes and Private Key Leakage in Permissioned Blockchain Platforms,Amanda Davenport; Sachin Shetty,,"In this paper we consider the threat surface and security of air gapped wallet schemes for permissioned blockchains as preparation for a Markov based mathematical model, and quantify the risk associated with private key leakage. We identify existing threats to the wallet scheme and existing work done to both attack and secure the scheme. We provide an overview the proposed model and outline justification for our methods. We follow with next steps in our remaining work and the overarching goals and motivation for our methods.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/HOTICN.2018.8606017,A High Performance Blockchain Platform for Intelligent Devices,Shitang Yu; Kun Lv; Zhou Shao; Yingcheng Guo; Jun Zou; Bo Zhang,,"In the area of IoT (Internet of Things), more and more intelligent devices are being connected to the Internet. These intelligent devices have been producing a huge amout of useful data over time, however there is still a lack of a platform which can efficiently transfer and utilize the value of the massive IoT data. Blockchain is able to transfer value with a relative low cost, which makes it possible for the data from smart devices to create economic value. This work of this paper is to design a high performance blockchain platform, using technologies such as distributed network architecture, intelligent devices node mapping, as well as PBFT-DPOC consensus algorithm to realize the decentralized autonomy of intelligent devices.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBCTIS55569.2022.00029,Research and Design of Electric Power Engineering Project Management System Bsed on Blockchain Technology,Qinglei Guo; Shuai Chen; Junsheng Wang; Xiaoting Pan,,"The characteristics of electric power engineering projects, such as multiple types, multiple links, multiple related parties, and decentralized construction have formed complex contracts and employment relationships. Numerous stakeholders make the owner's ability to control all parties involved in the project very limited, and the problems of information islands still exist. Firstly, electric power engineering project management problems, such as qualifications of contractors or subcontractors, subcontracting in breach of contract, lack of transparency in the payment of workers' wages, arrears of wages, withholding and embezzlement of contract funds, and malicious debt collection, were analysed. Then, the data deposit, enterprise and personnel credit management, contract management, project progress management, and funds management based on the blockchain technology were studied. Finally, the blockchian based electric power engineering project management system was designed.",,,
,IEEE,Publisher: IEEE,DOI: 10.1109/ICBCTIS55569.2022.00046,Research and Implementation on the Operation and Transaction System Based on Blockchain Technology for Virtual Power Plant,Da Li; Qinglei Guo; Desheng Bai; Wei Zhang,,"Virtual power plants are among the promising ways that variable generation and flexible demand may be optimally balanced in the future. The virtual power plant is an important branch of the energy internet, and it plays an important role in the aggregation of distributed power generation resources and the establishment of virtual power resource transactions. However, in the existing virtual power plant model, the following problems are becoming increasingly prominent, such as safeguard, credit rating system, privacy protection, benefit distribution. Firstly, the operation and transaction mechanism of the virtual power plant was introduced. Then, the blockchain technology is introduced into the virtual power plant transaction to make it more conducive to the information transparent, stable dispatch system, data security, and storage security. Finally, the operation and transaction system based on blockchain technology for the virtual power plant was design.",,,
